BEAMNG-outLQ,1,2,10,39.73491087035725
BEAMNG-outLQ,2,2,13,41.85213692021754
BEAMNG-outLQ,3,3,9,43.15612150026482
BEAMNG-outLQ,4,7,20,43.03855351397192
BEAMNG-outLQ,5,6,19,40.88275590534828
BEAMNG-outLQ,6,8,24,41.394595841369856
BEAMNG-outLQ,7,6,22,43.7781460909385
BEAMNG-outLQ,8,7,22,42.95102158549206
BEAMNG-outLQ,9,5,19,43.54727690271295
BEAMNG-outLQ,10,10,15,44.184628608747154
BEAMNG-outHQ,1,0,15,35.84497375313746
BEAMNG-outHQ,2,0,7,38.105924259315145
BEAMNG-outHQ,3,0,5,40.01246062976121
BEAMNG-outHQ,4,0,15,37.8971806647653
BEAMNG-outHQ,5,0,18,38.32907370938299
BEAMNG-outHQ,6,0,16,36.667896981480624
BEAMNG-outHQ,7,1,12,38.512850797342416
BEAMNG-outHQ,8,0,19,35.048119560572616
BEAMNG-outHQ,9,0,19,38.549856678945126
BEAMNG-outHQ,10,0,15,37.76535214333101
